CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,placed,Score,company_offer,skills
7.7,1,3,2,90,4.8,1,0,80,85,1,90,10,"c, nodejs, teamwork, django, ibm cloud"
7.7,1,2,0,73,4.0,0,1,65,75,1,78,31,"c, reactJs, leadership, postgresql, google cloud"
8.5,1,2,2,90,4.8,1,1,80,86,1,91,3,"javascript, expressjs, teamwork, nosql, oracle cloud"
8.0,1,3,0,80,4.4,1,1,85,84,1,87,11,"javascript, expressjs, communication, oracle, aws"
8.4,1,1,0,81,4.6,1,0,78,82,1,86,6,"javascript, css, teamwork, nosql, azure"
8.2,2,3,2,90,4.4,1,1,90,81,1,91,4,"c, html, problem-solving, nosql, aws"
8.1,2,2,2,90,4.5,1,1,73,82,1,88,7,"python, expressjs, communication, mongodb, aws"
8.9,2,3,2,90,4.8,1,1,69,85,1,93,2,"java, html, problem-solving, postgresql, azure"
7.6,1,1,0,73,4.3,0,1,55,76,1,77,30,"java, html, communication, sql, ibm cloud"
8.4,1,3,2,90,4.6,1,1,67,80,1,88,10,"c++, html, leadership, oracle, aws"
8.4,1,2,1,74,4.3,1,1,59,80,1,81,20,"javascript, reactJs, teamwork, oracle, aws"
7.6,1,2,0,74,3.7,0,1,58,74,1,75,21,"c++, css, problem-solving, mongodb, ibm cloud"
7.9,1,3,1,80,4.2,1,1,56,82,1,82,13,"javascript, reactjs, communication, postgresql, oracle cloud"
8.4,2,3,2,90,4.8,1,1,90,85,1,94,2,"c, javascript, teamwork, flask, azure"
8.6,0,3,2,90,4.8,1,1,73,78,1,89,9,"ruby, nodejs, communication, oracle, oracle cloud"
7.8,0,1,0,81,3.9,1,1,79,65,1,78,22,"java, javascript, problem-solving, oracle, oracle cloud"
8.1,2,3,3,90,4.8,1,1,80,83,1,92,3,"javascript, html, communication, sql, aws"
7.7,0,1,0,81,4.8,1,1,69,63,1,81,13,"javascript, expressjs, problem-solving, sql, aws"
8.4,1,3,2,90,4.5,1,1,79,86,1,90,10,"javascript, reactjs, communication, flask, aws"
6.9,0,1,0,73,4.1,0,1,55,69,1,72,30,"java, css, communication, nosql, azure"
6.5,1,1,2,85,4.3,1,0,62,72,1,77,26,"c, css, problem-solving, mongodb, oracle cloud"
8.3,2,3,0,71,4.6,1,1,77,82,1,86,10,"java, nodejs, leadership, postgresql, ibm cloud"
8.0,2,3,2,90,4.8,1,1,78,86,1,92,4,"c++, reactJs, leadership, django, google cloud"
8.5,1,3,2,90,4.8,1,1,61,86,1,90,7,"c, css, communication, sql, oracle cloud"
8.4,0,1,2,88,4.8,1,1,74,82,1,87,9,"java, css, teamwork, nosql, oracle cloud"
8.2,1,3,0,82,4.8,1,1,70,73,1,86,9,"c, nodejs, problem-solving, mongodb, azure"
8.4,2,3,2,90,4.1,1,1,76,82,1,88,6,"python, angular, problem-solving, flask, oracle cloud"
7.8,2,2,2,80,4.6,0,1,59,74,1,83,13,"javascript, html, leadership, sql, aws"
8.9,0,1,2,80,4.8,1,1,75,82,1,86,12,"c++, nodejs, leadership, postgresql, google cloud"
8.5,2,3,0,86,4.2,1,1,60,85,1,86,11,"python, html, problem-solving, oracle, google cloud"
7.6,1,1,1,82,4.8,1,1,79,86,1,86,8,"c, nodejs, leadership, sql, ibm cloud"
8.6,1,3,2,90,4.7,1,1,68,84,1,90,8,"javascript, nodejs, communication, sql, google cloud"
7.9,2,3,2,76,4.6,1,1,79,82,1,86,6,"c++, angular, problem-solving, oracle, google cloud"
8.2,0,2,1,82,4.5,1,1,78,87,1,86,11,"c++, reactJs, leadership, postgresql, google cloud"
8.2,1,1,0,81,4.3,1,1,60,70,1,80,30,"c, nodejs, communication, oracle, google cloud"
8.4,2,3,2,90,4.5,1,1,85,79,1,91,5,"ruby, expressjs, leadership, sql, azure"
8.3,2,3,3,90,4.5,1,1,70,88,1,90,7,"c, html, problem-solving, postgresql, google cloud"
7.8,1,3,0,88,4.8,1,1,70,78,1,88,8,"c++, angular, teamwork, mongodb, azure"
8.3,1,2,2,88,4.1,1,1,80,79,1,86,9,"ruby, expressjs, leadership, mongodb, ibm cloud"
7.9,2,2,2,88,4.8,1,1,81,85,1,90,6,"java, html, teamwork, mongodb, google cloud"
8.0,2,3,2,86,4.8,1,1,62,83,1,88,10,"java, javascript, problem-solving, postgresql, ibm cloud"
8.3,1,3,2,78,3.9,1,1,60,61,1,78,28,"javascript, html, communication, mongodb, google cloud"
8.0,2,2,2,87,3.8,1,1,79,78,1,84,17,"c++, expressjs, leadership, sql, ibm cloud"
8.7,2,3,2,87,4.7,1,1,80,84,1,92,3,"java, reactJs, communication, mongodb, ibm cloud"
7.9,2,3,2,90,4.8,1,1,83,88,1,92,5,"java, reactJs, teamwork, django, google cloud"
8.5,2,3,2,90,4.8,1,1,80,79,1,92,4,"c, reactjs, teamwork, postgresql, google cloud"
7.6,2,3,0,88,4.4,0,1,80,68,1,86,6,"c, expressjs, communication, django, aws"
8.4,0,2,1,85,4.3,1,1,62,81,1,83,13,"c, reactjs, problem-solving, flask, ibm cloud"
8.1,0,2,2,80,4.4,1,0,82,85,1,85,14,"c++, nodejs, leadership, oracle, google cloud"
8.7,2,3,2,90,4.8,1,1,83,81,1,93,4,"python, reactJs, leadership, django, oracle cloud"
8.1,2,3,2,90,4.8,1,1,86,88,1,93,3,"python, nodejs, teamwork, postgresql, oracle cloud"
6.6,0,1,2,72,4.2,0,1,86,88,1,78,32,"c, javascript, teamwork, django, google cloud"
8.1,0,2,3,78,4.1,1,1,81,78,1,82,14,"c++, reactJs, teamwork, django, oracle cloud"
7.4,1,1,0,88,4.5,0,1,76,71,1,83,13,"java, css, communication, mysql, oracle cloud"
8.2,2,3,2,80,4.8,1,1,79,84,1,89,12,"c++, expressjs, communication, postgresql, oracle cloud"
8.5,1,3,0,82,4.4,1,1,68,88,1,87,12,"python, javascript, teamwork, mongodb, google cloud"
6.5,2,2,2,79,4.5,1,1,83,87,1,83,16,"c, angular, communication, nosql, ibm cloud"
6.8,1,2,1,65,3.9,1,1,71,85,1,75,24,"java, reactjs, teamwork, oracle, aws"
8.7,1,3,2,90,4.8,1,1,69,88,1,91,1,"c++, reactJs, problem-solving, mongodb, ibm cloud"
8.3,2,3,1,90,4.8,1,0,55,80,1,89,7,"c++, html, leadership, sql, google cloud"
7.6,0,3,3,75,4.3,1,1,82,87,1,83,17,"java, html, teamwork, sql, azure"
8.5,0,2,2,75,4.5,1,0,76,83,1,84,14,"c, css, communication, flask, google cloud"
8.8,1,2,2,90,4.8,1,0,75,88,1,91,2,"c++, reactJs, teamwork, mysql, google cloud"
8.6,1,1,2,84,4.3,1,1,57,82,1,83,16,"ruby, nodejs, teamwork, django, google cloud"
8.4,2,3,3,82,4.5,1,0,82,85,1,89,12,"java, reactJs, communication, sql, azure"
8.4,2,3,2,80,4.6,1,1,72,79,1,87,8,"c, reactjs, communication, mysql, azure"
8.2,0,3,2,90,4.8,1,1,79,80,1,89,8,"javascript, expressjs, leadership, sql, aws"
7.9,0,3,2,90,4.8,1,1,68,83,1,88,12,"c++, css, communication, sql, google cloud"
8.3,2,3,2,82,4.6,1,1,76,85,1,89,8,"javascript, html, problem-solving, mongodb, aws"
8.2,2,3,2,90,4.6,1,1,77,88,1,91,1,"ruby, expressjs, teamwork, postgresql, aws"
8.2,1,3,2,90,4.3,0,1,77,82,1,88,11,"ruby, expressjs, leadership, nosql, oracle cloud"
7.5,1,1,2,82,4.5,1,1,77,84,1,83,15,"c++, reactJs, communication, oracle, ibm cloud"
7.6,1,1,1,88,4.5,1,1,83,86,1,86,6,"javascript, expressjs, leadership, oracle, ibm cloud"
7.5,0,2,1,66,4.5,0,1,61,71,1,76,32,"c, nodejs, problem-solving, sql, ibm cloud"
8.5,2,3,1,85,4.3,1,1,88,80,1,90,11,"c, reactJs, problem-solving, mysql, aws"
8.6,2,3,2,90,4.8,1,1,75,84,1,92,3,"java, expressjs, problem-solving, nosql, ibm cloud"
6.5,1,1,1,78,3.9,0,1,67,73,1,74,27,"c++, css, teamwork, mysql, google cloud"
8.7,1,3,0,86,4.5,1,1,77,81,1,89,6,"python, expressjs, leadership, sql, azure"
7.8,1,2,0,78,4.8,1,1,75,65,1,83,20,"javascript, angular, problem-solving, mongodb, ibm cloud"
6.5,0,2,0,80,4.6,1,1,62,86,1,79,24,"ruby, angular, leadership, django, azure"
7.4,2,3,0,86,4.6,1,1,75,72,1,86,9,"c, expressjs, teamwork, mysql, ibm cloud"
8.6,1,3,2,81,4.8,1,1,71,82,1,88,11,"c, javascript, leadership, oracle, azure"
7.8,1,3,1,89,4.6,1,1,73,79,1,87,9,"javascript, html, communication, flask, oracle cloud"
8.1,1,3,2,90,4.7,1,0,72,87,1,90,11,"python, reactjs, communication, postgresql, aws"
8.4,2,3,2,87,4.8,1,1,78,88,1,92,4,"java, html, teamwork, nosql, aws"
8.6,2,3,2,90,4.8,1,1,77,86,1,93,4,"python, html, leadership, flask, oracle cloud"
7.8,0,3,0,90,4.7,1,1,72,69,1,86,8,"c, javascript, problem-solving, django, aws"
6.6,1,2,0,71,4.0,0,0,55,68,1,72,30,"c, reactJs, problem-solving, django, google cloud"
8.2,2,3,2,90,4.8,1,1,89,84,1,93,3,"python, reactJs, teamwork, sql, azure"
8.9,2,3,2,89,4.6,1,1,71,83,1,91,3,"ruby, reactJs, communication, mongodb, google cloud"
8.2,1,2,1,90,4.8,1,1,78,71,1,88,6,"c, angular, teamwork, django, google cloud"
8.7,1,3,2,90,4.7,1,1,81,80,1,91,2,"java, html, communication, postgresql, ibm cloud"
6.6,1,1,1,82,3.7,0,1,55,60,1,71,30,"c, javascript, communication, postgresql, oracle cloud"
7.4,2,3,1,84,4.8,0,1,77,68,1,86,6,"java, angular, teamwork, sql, google cloud"
7.5,0,3,2,90,4.8,1,1,82,81,1,88,12,"c++, css, leadership, nosql, google cloud"
8.7,1,2,0,84,4.4,1,1,65,88,1,86,11,"c, css, communication, mysql, ibm cloud"
8.0,2,3,1,87,4.2,1,1,75,81,1,87,7,"c, expressjs, leadership, oracle, google cloud"
8.4,2,2,0,76,4.4,1,1,77,73,1,84,16,"c, css, teamwork, nosql, google cloud"
6.5,1,3,2,90,4.0,1,0,85,65,1,81,16,"c++, reactJs, problem-solving, nosql, oracle cloud"
8.1,1,3,2,90,4.7,1,1,70,85,1,89,12,"javascript, angular, leadership, nosql, aws"
8.2,2,2,2,81,4.8,1,1,78,83,1,88,6,"c, html, leadership, nosql, azure"
8.2,2,1,2,90,4.8,1,1,79,68,1,88,8,"java, css, teamwork, sql, oracle cloud"
8.5,1,3,2,74,4.1,0,1,76,68,1,82,18,"javascript, nodejs, leadership, django, aws"
6.7,1,2,0,86,4.4,0,0,76,73,1,81,20,"python, angular, leadership, django, azure"
8.3,2,3,2,82,4.8,1,1,57,73,1,86,8,"c, reactjs, leadership, oracle, google cloud"
7.5,1,2,0,90,4.2,0,1,77,64,1,82,17,"c, javascript, teamwork, mysql, azure"
8.9,0,3,0,89,4.8,1,0,77,78,1,90,6,"c++, javascript, leadership, postgresql, azure"
8.6,1,2,0,86,4.8,1,1,69,77,1,88,6,"ruby, html, teamwork, postgresql, ibm cloud"
8.2,2,3,2,90,4.8,1,1,81,84,1,92,2,"ruby, javascript, problem-solving, mongodb, google cloud"
7.9,1,3,0,88,4.7,1,1,87,85,1,90,10,"ruby, javascript, problem-solving, mysql, aws"
6.9,0,1,0,90,4.5,1,1,81,80,1,83,20,"java, css, communication, flask, aws"
8.0,1,3,2,90,4.8,1,1,81,86,1,91,5,"c++, reactjs, leadership, postgresql, oracle cloud"
8.5,2,3,2,90,4.8,1,1,80,84,1,93,3,"c++, nodejs, teamwork, sql, aws"
6.9,0,1,2,76,4.8,1,0,78,82,1,81,17,"ruby, css, communication, oracle, oracle cloud"
8.6,1,3,2,83,4.4,1,1,71,83,1,87,11,"c++, expressjs, leadership, mysql, oracle cloud"
8.7,2,1,0,90,4.7,1,1,74,86,1,90,7,"ruby, javascript, communication, mysql, oracle cloud"
7.5,1,3,2,90,4.2,1,1,80,72,1,85,20,"c++, css, communication, postgresql, azure"
8.0,2,3,0,86,4.8,1,1,73,82,1,89,7,"c, html, communication, sql, aws"
7.5,1,1,0,67,4.2,1,1,57,70,1,74,22,"javascript, reactjs, leadership, postgresql, azure"
7.8,1,3,0,78,4.4,0,1,77,70,1,83,18,"c, angular, problem-solving, postgresql, ibm cloud"
8.1,1,3,3,90,4.8,1,1,69,82,1,89,10,"c++, css, teamwork, mysql, aws"
8.7,1,3,0,74,4.6,1,1,86,83,1,88,7,"javascript, css, teamwork, django, google cloud"
7.1,2,2,0,76,4.0,0,1,55,69,1,76,21,"javascript, angular, leadership, django, ibm cloud"
8.9,1,3,2,81,4.8,1,0,82,81,1,90,6,"ruby, html, problem-solving, mongodb, google cloud"
8.3,1,2,0,90,4.5,1,1,82,80,1,89,6,"python, angular, communication, postgresql, azure"
7.9,2,3,2,86,4.7,1,1,69,82,1,88,9,"c++, expressjs, problem-solving, postgresql, aws"
8.1,2,3,2,90,4.5,1,1,78,81,1,90,7,"javascript, javascript, teamwork, postgresql, google cloud"
8.1,2,3,2,85,4.5,1,1,76,88,1,89,6,"javascript, expressjs, teamwork, nosql, oracle cloud"
8.4,1,1,2,84,4.8,1,1,82,68,1,86,9,"c++, javascript, leadership, nosql, aws"
8.4,2,3,2,90,4.8,1,1,82,86,1,93,2,"python, nodejs, leadership, mysql, ibm cloud"
6.5,0,1,0,67,4.3,1,0,81,63,1,73,28,"c, javascript, problem-solving, postgresql, aws"
8.3,2,3,2,90,4.8,1,1,74,83,1,91,3,"c++, nodejs, leadership, postgresql, oracle cloud"
8.2,0,3,2,78,4.5,0,1,88,84,1,87,7,"python, reactJs, teamwork, nosql, ibm cloud"
8.1,1,2,2,76,4.5,1,1,79,81,1,84,17,"java, html, leadership, sql, google cloud"
7.7,0,3,2,89,4.4,1,1,82,85,1,87,12,"python, reactjs, leadership, mongodb, google cloud"
8.0,1,3,0,77,4.1,0,0,82,84,1,84,18,"ruby, expressjs, teamwork, mongodb, oracle cloud"
8.6,0,2,1,90,4.6,1,1,56,87,1,86,7,"python, reactJs, leadership, oracle, oracle cloud"
7.9,2,3,2,90,4.8,1,1,78,86,1,91,5,"ruby, reactJs, teamwork, sql, azure"
7.7,1,3,2,84,4.6,1,1,80,83,1,87,9,"ruby, angular, teamwork, mongodb, oracle cloud"
7.8,2,3,2,84,4.1,1,1,76,80,1,85,20,"javascript, css, teamwork, sql, azure"
7.8,0,1,1,73,4.8,1,1,77,88,1,83,16,"c, reactJs, leadership, flask, google cloud"
8.1,0,2,0,88,4.0,0,1,67,84,1,83,14,"javascript, css, teamwork, flask, azure"
8.2,1,2,0,83,4.6,1,1,66,86,1,86,10,"javascript, javascript, problem-solving, mongodb, ibm cloud"
8.2,0,3,3,90,4.7,1,1,65,87,1,88,11,"java, javascript, teamwork, django, azure"
8.0,2,1,0,74,4.1,0,1,80,67,1,80,22,"javascript, reactJs, communication, mongodb, google cloud"
7.5,2,3,2,90,4.7,1,1,80,83,1,90,11,"java, reactjs, problem-solving, sql, oracle cloud"
8.4,2,3,1,85,4.7,1,1,63,78,1,88,11,"python, angular, problem-solving, flask, google cloud"
6.6,1,3,0,70,4.1,1,0,78,63,1,76,27,"javascript, html, problem-solving, postgresql, aws"
8.3,2,3,2,79,4.4,1,1,74,80,1,86,11,"c++, html, communication, django, ibm cloud"
8.5,1,2,1,70,4.5,1,1,74,64,1,81,14,"java, html, communication, django, google cloud"
8.8,1,3,2,88,4.8,1,1,79,86,1,92,1,"ruby, html, teamwork, mongodb, oracle cloud"
7.3,0,3,2,77,4.6,1,1,72,88,1,83,13,"python, html, leadership, postgresql, ibm cloud"
8.3,2,3,2,89,4.7,1,1,80,88,1,92,5,"c++, html, teamwork, django, aws"
8.2,1,1,2,83,4.4,1,1,64,80,1,83,15,"ruby, reactjs, leadership, mysql, google cloud"
8.0,0,3,3,90,4.3,1,1,75,87,1,87,8,"ruby, nodejs, leadership, mysql, azure"
8.1,1,3,2,90,4.5,1,1,77,81,1,89,8,"c++, css, communication, mysql, ibm cloud"
8.6,2,3,2,87,4.8,1,1,77,82,1,92,2,"c++, nodejs, teamwork, flask, ibm cloud"
8.4,2,2,2,73,4.8,1,0,78,82,1,87,10,"ruby, reactJs, leadership, django, oracle cloud"
8.1,2,3,2,84,4.6,1,1,78,84,1,89,8,"javascript, nodejs, teamwork, mysql, ibm cloud"
8.9,2,3,2,90,4.8,1,1,79,87,1,94,2,"python, angular, problem-solving, flask, azure"
7.5,2,2,0,73,4.4,1,1,86,74,1,83,15,"java, nodejs, leadership, oracle, aws"
8.7,2,3,2,90,4.8,1,1,75,88,1,93,4,"ruby, html, problem-solving, mysql, oracle cloud"
7.8,1,1,1,66,3.4,0,0,55,69,1,70,29,"python, css, leadership, oracle, azure"
8.3,1,2,2,85,4.6,1,1,72,88,1,88,7,"javascript, reactjs, leadership, django, azure"
7.6,2,3,2,90,4.5,1,1,75,82,1,88,8,"c++, reactJs, leadership, mysql, ibm cloud"
7.4,1,3,1,75,4.5,1,1,83,67,1,82,15,"java, html, communication, django, ibm cloud"
7.9,1,3,0,90,4.6,1,1,81,79,1,89,12,"python, nodejs, leadership, mongodb, azure"
8.3,2,3,2,88,4.7,1,1,70,85,1,90,10,"c++, expressjs, communication, sql, azure"
8.6,1,3,2,90,4.8,1,1,90,88,1,94,4,"javascript, expressjs, teamwork, mysql, azure"
7.6,2,2,0,72,4.3,0,1,77,67,1,80,31,"javascript, css, teamwork, oracle, oracle cloud"
7.7,1,3,0,82,4.2,1,1,90,88,1,87,11,"java, html, leadership, mysql, azure"
7.4,1,3,2,88,4.8,1,1,82,85,1,89,10,"python, html, leadership, nosql, oracle cloud"
8.2,1,2,1,90,4.7,1,1,76,80,1,89,12,"python, expressjs, communication, mongodb, azure"
7.6,1,2,2,70,4.8,0,1,73,84,1,83,18,"java, html, teamwork, postgresql, google cloud"
7.4,1,3,0,81,4.7,1,1,76,84,1,86,10,"c++, html, leadership, nosql, oracle cloud"
7.8,0,3,2,90,4.7,1,1,81,82,1,88,7,"python, angular, teamwork, flask, azure"
8.2,2,3,2,90,4.8,1,1,88,82,1,93,4,"python, nodejs, problem-solving, postgresql, ibm cloud"
8.2,2,3,2,90,4.7,1,1,85,80,1,92,5,"javascript, angular, teamwork, mongodb, ibm cloud"
8.6,1,1,1,88,4.0,0,1,80,66,1,83,15,"c, html, teamwork, mysql, ibm cloud"
6.5,2,3,1,84,4.7,1,1,85,83,1,86,8,"python, angular, teamwork, mysql, oracle cloud"
8.7,2,3,2,90,4.8,1,1,77,86,1,93,1,"c, html, leadership, oracle, aws"
8.1,2,3,2,90,4.4,1,1,81,87,1,90,11,"javascript, html, teamwork, sql, google cloud"
7.8,2,3,0,90,4.8,1,1,78,83,1,91,1,"python, css, problem-solving, flask, oracle cloud"
8.0,0,0,2,76,4.8,1,0,62,64,1,78,32,"java, css, leadership, flask, google cloud"
7.5,1,3,1,90,4.8,1,1,74,85,1,89,7,"javascript, html, leadership, sql, azure"
6.5,0,3,0,68,4.2,1,0,64,62,1,73,30,"java, reactJs, teamwork, postgresql, azure"
8.5,2,3,2,90,4.8,1,1,80,84,1,93,4,"javascript, angular, problem-solving, mysql, ibm cloud"
8.4,1,3,2,90,4.6,1,1,82,88,1,91,3,"c++, expressjs, leadership, postgresql, google cloud"
7.4,2,1,1,81,4.0,1,0,76,66,1,79,22,"c, nodejs, communication, flask, aws"
8.5,2,3,0,89,4.8,1,1,79,80,1,92,4,"c++, html, problem-solving, sql, ibm cloud"
8.2,0,1,0,73,4.8,1,1,55,66,1,78,32,"javascript, reactjs, problem-solving, nosql, ibm cloud"
6.5,0,3,2,85,4.7,1,0,65,81,1,82,16,"javascript, javascript, leadership, sql, aws"
7.4,0,3,0,78,4.4,1,1,70,81,1,81,14,"c++, javascript, problem-solving, mysql, oracle cloud"
8.1,2,3,2,90,4.8,1,1,76,84,1,91,1,"javascript, html, communication, mysql, azure"
8.0,2,3,2,90,4.8,1,1,75,88,1,91,1,"c++, reactjs, teamwork, postgresql, azure"
7.7,1,1,0,73,3.9,0,1,59,67,1,74,22,"c++, javascript, leadership, nosql, google cloud"
7.4,1,2,1,90,4.8,1,1,73,67,1,85,15,"ruby, expressjs, teamwork, django, aws"
8.3,1,2,2,88,4.4,1,1,78,86,1,88,7,"c, html, leadership, mongodb, ibm cloud"
7.5,1,2,1,90,4.3,1,1,59,84,1,83,18,"c, javascript, leadership, mongodb, oracle cloud"
8.3,2,3,0,90,4.8,1,1,78,83,1,92,5,"python, html, problem-solving, nosql, oracle cloud"
8.3,2,3,2,85,4.7,1,1,76,87,1,90,8,"python, reactjs, teamwork, django, oracle cloud"
7.6,1,2,1,74,4.6,0,1,74,85,1,83,18,"java, css, communication, postgresql, aws"
8.6,2,2,2,88,4.8,1,0,83,77,1,91,3,"ruby, javascript, leadership, oracle, oracle cloud"
6.6,1,2,1,81,3.4,1,1,81,85,1,77,30,"c, html, leadership, mysql, oracle cloud"
8.6,2,3,2,87,4.4,1,1,69,86,1,89,9,"javascript, expressjs, communication, oracle, azure"
7.4,1,1,1,69,3.8,0,1,55,64,1,71,32,"c, html, communication, django, oracle cloud"
7.7,1,2,0,81,4.4,1,1,55,82,1,81,15,"python, reactjs, problem-solving, sql, oracle cloud"
8.5,1,1,2,83,4.3,1,1,89,86,1,87,7,"java, nodejs, teamwork, flask, aws"
8.3,2,3,2,90,4.8,1,0,69,80,1,90,7,"java, expressjs, teamwork, postgresql, azure"
8.5,2,3,2,88,4.6,1,1,85,84,1,92,5,"javascript, html, problem-solving, django, aws"
7.9,2,3,2,90,4.6,1,1,82,87,1,91,4,"c, css, problem-solving, postgresql, oracle cloud"
7.6,1,2,0,79,4.3,1,1,79,69,1,81,20,"c++, html, teamwork, mysql, azure"
7.6,0,1,2,74,4.6,1,1,76,67,1,79,28,"java, javascript, teamwork, nosql, google cloud"
6.8,0,3,2,89,4.8,1,1,78,69,1,84,18,"c, css, problem-solving, mongodb, aws"
8.2,2,3,1,90,4.8,1,1,82,77,1,91,2,"ruby, reactjs, teamwork, oracle, google cloud"
8.4,0,3,2,87,4.0,1,0,79,80,1,85,19,"python, html, teamwork, flask, oracle cloud"
